objectid,filename,title,creator,date,description,subject,place,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
rufus001,IMG_1257.jpg,Rufus 1,Devin Becker,2014-02-22,Rufus in car,rufus; car,131 2nd St,46.34057,-117.05365,Devin's Rufus Photos,IMG_1257,Image;StillImage,image/jpeg,eng,MY copyright; don't touch,http://rightsstatements.org/vocab/NoC-US/1.0/
rufus002,IMG_1268.jpg,Rufus 2,Devin Becker,2014-02-23,Rufus on hike,rufus; outside; ,616 Jefferson St,46.74028,-116.99855,Devin's Rufus Photos,IMG_1268,Image;StillImage,image/jpeg,eng,MY copyright; don't touch,http://rightsstatements.org/vocab/NoC-US/1.0/
rufus003,IMG_1275.jpg,Rufus 3,Devin Becker,2014-03-02,Rufus by ball,rufus; ball;,Whitman Elementary School,46.41062,-117.00537,Devin's Rufus Photos,IMG_1275,Image;StillImage,image/jpeg,eng,MY copyright; don't touch,http://rightsstatements.org/vocab/NoC-US/1.0/
rufus004,IMG_1334.jpg,Rufus 4,Devin Becker,2014-04-04,Rufus by fire,fire; stretch,419 N Sunset Dr,46.73719,-117.01084,Devin's Rufus Photos,IMG_1334,Image;StillImage,image/jpeg,eng,MY copyright; don't touch,http://rightsstatements.org/vocab/NoC-US/1.0/
rufus005,IMG_1818.jpg,Rufus 5,Devin Becker,2015,Rufus in Field,field;stoic,Wallowa Lake Highway,45.33446,-117.2095,Devin's Rufus Photos,IMG_1818,Image;StillImage,image/jpeg,eng,MY copyright; don't touch,http://rightsstatements.org/vocab/NoC-US/1.0/
rufus006,IMG_3349.jpg,Rufus 6,Devin Becker,2014,Rufus as puppy with Kristin,gaze;kristin;puppy,"Moscow, ID",,,Devin's Rufus Photos,IMG_3349,Image;StillImage,image/jpeg,eng,MY copyright; don't touch,http://rightsstatements.org/vocab/NoC-US/1.0/
rufus007,IMG_7491.jpg,Rufus 7,Devin Becker,2014,First photo of Rufus,puppy;,"lewiston, ID",,,Devin's Rufus Photos,IMG_7491,Image;StillImage,image/jpeg,eng,MY copyright; don't touch,http://rightsstatements.org/vocab/NoC-US/1.0/
rufus008,IMG_2378.jpg,Rufus 8,Devin Becker,2017,Rufus on carpet,carpet;play,"Moscow, ID",,,Devin's Rufus Photos,IMG_2378,Image;StillImage,image/jpeg,eng,MY copyright; don't touch,http://rightsstatements.org/vocab/NoC-US/1.0/
rufus009,IMG_20171016_222255.jpg,Rufus 9,Devin Becker,2018,Rufus on couch asleep,asleep,"Moscow, ID",,,Devin's Rufus Photos,IMG_20171016_222255,Image;StillImage,image/jpeg,eng,MY copyright; don't touch,http://rightsstatements.org/vocab/NoC-US/1.0/
rufus010,IMG_20181230_115926.jpg,Rufus 10,Devin Becker,2018,Rufus with Wallace,fire;wallace,"Moscow, ID",,,Devin's Rufus Photos,IMG_20181230_115926,Image;StillImage,image/jpeg,eng,MY copyright; don't touch,http://rightsstatements.org/vocab/NoC-US/1.0/
